id,query,label
567,منطقیه سوال قسمت تشریحی باشه هرکدوم چندخطی بعد دقیقه وقت,1
568,معمولا ارزشیابی استاید کیاست,4
569,لطفا امکان بازگشت عقب در امتحانات رو فعال کنید,4
570,کل واحد عملی کارشناسی چقدر,1
571,عده زیادی روزهای فرد در کتابخونه سر و صدا ایجاد میکنن,1
572,بهتر قبل امتحانات فرجه برای مطالعه داشته باشیم,4
573,درخواست وام دانشجویی کحا باید صورت بگیرد,2
574,زمان امتحانات طوری بچینید که چند امتحان در یک روز نداشته باشیم,4
575,در کتابخونه کتاب مربوط مهندسی داده پیدا می شود,3
576,راه ارتباطی اساتید بیشتر کنید,4
577,برای ثبت نام باید کجا برم,1
578,اگر مشروط شوم ،اخراج می شوم,3
579,چه ساعتی می توان سایت استفاده کرد,2
580,آبسردکن کجا,2
581,ایا دانشکده در تعتیلات رسمی بسته,2
582,درخواست حذف تک درس رو دکتر شاملی تائید نکرده,1
583,در صورت فراموشی رمز عبور درس افزار چه باید کرد,1
584,کجا باید توپ پینگ پنگ بگیرم,2
585,فلان استاد تایم بیرون کلاس غیبت میزنه,4
586,پنجشنبه دانشگاه باز,2
587,چندبار می تونم حذف اضطرای کنم,1
588,چه کارهایی عنوان کار دانشجویی می توانم انجام داد,3
589,آزمایشگاه پردازش زبان طبیعی کجا,2
590,شرایط مهمان شدن چیست,1
591,دانشکده فیزیک کجا,2
592,نماز خونه کجاس,2
593,آیا میتوانم دوستم دانشگاه بیاورم,3
594,تهرانی هم خوابگاه میدهند,2
595,سیستم گرمایش و سرمایش دانشگاه دارای ایراد,4
596,برنامه هفتگیمو کجا می تونم ببینم,1
597,بعضی اساتید دانشجو محترمانه رفتار نمیکنند,4
598,هر فرد چند ساعت میتواند سایت استفاده کند,1
599,کجا می تونم استراحت کنم,2
600,کافه نزدیک دانشکده کجا هستند,2
601,رئیس جمهور فعلی فرانسه کیست,2
602,سطح تمرینات درس هوش مصنوعی بالاست,1
603,چند گیگ اینترنت می تونم استفاده کنم,1
604,آیا می توان صحبت دانشجویان موفق در دانشگاه در یک کنفرانس بشنویم,1
605,چرا زمان بین دو ترم در دانشکده فقط صرف انجام پروژه می شود,4
606,چرا سیستم عامل فقط یه استاد ارائه میشه,4
607,استخر دانشگاه کجا,2
608,آیا دانشکده پنج شنبه باز,2
609,شرایط برداشتن رشته فرعی چیست,1
610,سقف تعداد واحد برای معدل زیر الف چقدر,1
611,دانشجو کارشناسی نباید گرایش انتخاب بکنن,1
612,کتاب رشته کامپیوتر,3
613,دروس اختصاصی تابستان هم میتوانیم برداریم,1
614,ظرفیت درسارو زیاد میکنید,4
615,پایان نامه چند صفحه باید باشد,1
616,ایمیل دکتر قوامی زاده بدهید,2
617,آیا چارت دروس رشته تحصیلی ارائه شده پایان دوره تحصیلی ثابت خواهد,4
618,تایم کلاس هارا کمتر نمیکنید,4
619,حداکثر زمانی که میتوانیم کتاب نگه داریم چقدر,3
620,کدام درس جهاد دانشگاهی ثبتنام کنم,1
621,چگونه مدرک خود آزاد کنم,1
622,بوفه ی دیگری هم,2
623,امتحان مجازی دانشجوها رو وادار تقلب میکنن,4
624,چه مدارکی باید تحویل دهم که هنوز نداده ام,2
625,زمان کاری بوفه چند,2
626,اگر کتاب امانت گرفته شده گم گردم باید چه کنم,3
627,سایت دانشکده کجا,2
628,برای ثبت نام باید کدام سایت اقدام کنم,1
629,امتحانات کی شروع میشوند,1
630,کتابخانه کجا,2
631,مرکز خوابگاه کجا,2
632,چه مدل لباسی می توان پوشید,1
633,آیا در اهواز کنون برف باریده,5
634,یه کم سلامت روان دانشجو اهمیت بدید,4
635,رمز عبور اینترنت دانشکده چیست,3
636,در انتخاب واحد ظرفیت برای درس بیشتر کنید,4
637,سایت اوبونتو داریم,3
638,یکی دانشجویان حال بدی دارد، او کجا باید ببریم,2
639,پایتخت یونان کجا,3
640,اتاق استاد صادقی کجا,2
641,اکانت دکتری حجم اضافه تری دارد,1
642,سقف تعداد واحد برای معدل الف چقدر,1
643,دانشکده چه ساعتی بسته میشه,2
644,دانشکده ساعت چند باز,2
645,برای ثبت نام باید کجا برم,1
646,دروس عمومی کجا ارايه میشه,1
647,کامپیوتر شماره مشکل دارد,3
648,شرایط تغییر رشته,1
649,آموزش درستی وظیفه استاد راهنما دانشجویان گفته نشده,4
650,فاصله ی بین شروع دو ترم کافی نیست,4
651,برنامه امتحانی رو کجا می تونم ببینم,1
652,آیا میتوانیم صورت اینترنتی کتابی ا درکتابخانه رزورو کنیم,3
653,رمز اینترنت دانشکده چیست,3
654,سربالایی دانشگاه اذیت کننده,1
655,آیا میتوانیم سرور دانشگاه استفاده کنیم,3
656,چرا اندازه کلاس انقدر کوچک,4
657,آب مایع,4
658,بوفه مرکزی کجا,2
659,چه سالی هستیم الان,5
660,چه نمره ای مشروط می شویم,1
661,مدت استفاده سایت دانشکده واسه هر فرد و هر مقطع چگونه,3
662,نظرسنجی اساتید کی مهلت داره,1
663,آیا کتاب زبان اصلی در کتابخانه موجود,3
664,اگر رمز عبور سامانه گلستان فراموش کردیم چه کنیم,1
665,کارت دانشجویی ار کجا بگیرم,1
666,سرپرست تیم ICPC دانشکده کجا میتوانم ببینم,2
667,چند غیبت در این ترم برایم ثبت شده,1
668,شرایط ثبت نام افراد هیئت علمی چجوریه,1
669,ون بیشتر کنید,4
670,کیفیت تدریس سطح امتحان نزدیک نیست,4
671,لطفا برای امتحانات ترم، فرجه در نظر بگیرید,4
672,سایت کجا,2
673,امتحانات پایان ترم پائیز کیه,1
674,چرا امتحانات یکدیگر تداخل دارند,4
675,تعداد آبخوری طبقات کم,4
676,دوره کهاد,1
677,میشه هم زمان دو رشته هم خوند,5
678,نمخوای کار کنی,5
679,ساعت حضور اساتید در دفترشان کجا بفهمیم,4
680,برای گرفتن کارنامه چه مراحلی نیاز,1
681,دانشکده صبح چه ساعتی باز می شود,2
682,بعضی کلاس حضوری برگزار کنید,4
683,پس دانشگاه کی حضوری میشه,2
684,کتابخانه در روزهای تعطیل باز,2
685,سربالایی دانشگاه خیلی بده,4
686,ساختمون IT کجا,2
687,آیا روی کامپیوتر دانشکده جاوا نصب,3
688,سایت دانشکده کی بازه,3
689,متروی نزدیک دانشگاه کجا,2
690,خوابگاه کجا,2
691,بخاطر آلودگی تعطیل نمیکنن,5
692,اگه کتابی که قرض گرفتم رو گم کردم باید چیکار کنم,3
693,فوتبال دستی کجا,5
694,ایستگاه ون دانشگاه کجا,2
695,چرا شماره دانشجویی ام روی کتاب نخورده,5
696,چه دروسی این ترم ارائه شده,1
697,می خواهم دکتر صفائی دیدار کنم,2
698,کجا میشه درس رو حذف کرد,1
699,شروع ترم جدید چه تاریخیه,1
700,صابقه داشته که مهلت حذف ترم تمدید بشه,1
701,سایت گلستان رو عوض کنید,4
702,سرویس بهداشتی کجا,2
703,صد سال دیگر اینجا چه شکلی,1
704,استاد فلان درس غیبت میکند و باید تاوانش بدهیم,4
705,پایه اکثر صندلی دانشکده لق می زند,2
706,باشگاه دانشگاه چه ورزش هایی داره,5
707,هوا گاز,5
708,کدام در بیاییم زودتر میرسیم,2
709,راه ارتباطی فلان استاد چیست,2
710,سایت ددانشکده در روزهای تعطیل باز,2
711,فیریلنسری کار کردن رو چجوری شروع کنم,3
712,ارتباط صنعت دانشگاه بیشتر کنید,4
713,شیر دستشویی خراب رسیدگی کنید,4
714,لابی دانشکده کامپیوتر کجا,2
715,نمره لازم برای پاس شدن چند,1
716,چطور نمراتمون اعتراض کنیم,1
717,اساتید خودشان دیر میاید ولی دقیقه دیر برسیم غیبت میزنند,4
718,چرا وقتی درس پروژه ای تعریف نشده پروژه میدین,4
719,مدتی که می شه کتاب امانت گرفت چقدره,3
720,رمزعبور اینترنت دانشکده رو میخواستم,2
721,پایان ترم پاییز کی,1
722,چه انجمن علمی هایی دانشکده وجود داره,2
723,درآمد یک توسعه دهنده ی ارشد فرانت چه قدر,5
724,برای ثبت,1
725,بارش برف در ایران کم شده,5
726,باشگاه دانشگاه چه ورزش هایی داره,5
727,حذف تکدرس کی شروع می,1
728,چگونه ویندوز کرک کنم,3
729,نمازخانه کجا,2
730,تعطیلات بین دو ترم خیلی کم,4
731,شرایط مشروطی چیاس,1
732,شماره تلفن دفتر خانم دکتر شمس فرد,2
733,فلان استاد نمیتونه مباجث برسونه اخر ترم حجم کار میبره بالا,4
734,لابی دانشکده کجا,2
735,دانشگاه جمعه بازه یا نه,5
736,آخرین مهلت نظر سنجی اساتید چه تاریخی,1
737,چه سالی هستیم الان قمری,5
738,بهترین استاد کامپیوتر کیست,5
739,بعضی اساتید رندوم نمره میدهند,4
740,مترو کجا,2
741,آیا دانشگاه حمام دارد,5
742,معدلم ورودی چندمه,1
743,افزایش سطح امکانات ازمایشگاه و کارگاه,4
744,تایم اتوبوس,4
745,برای کلاس درس ماژیک می خواهم,4
746,چرا بین کلاس تایم استراحت نداریم,4
747,اتاق گچ نداره,2
748,چه معدلی مشروط میشوم,1
749,سقف تعداد واحد قابل اخذ در هر ترم چقدر می باشد,1
750,کلاس درس پایگاه داده کجا,1
751,چجوری می تونم کارت کتابخونه رو بگیرم,3
752,حداکثر چند واحد می توانم حذف کنم,1
753,رو سیستم لینوکس نصبه,3
754,بوفه حقوق کجا,2
755,ساعت برگزاری کلاس هوش مصنوعی کی میباشد,1
756,دانشکده چه ساعتی باز,2
757,آیا پنج شنبه دانشگاه تعطیله,2
758,آزمایشگاه شبکه کجا,2
759,ترم تابستان چه تاریخی آغاز میشود,1
760,آلودگی امروز چجوریه,5
761,مزایای ازدواج دانشجویی چیست,1
